"row_idx","trip_date","pickup_datetime","pickup_borough","dropoff_borough","fare_amount","total_amount","cbd_congestion_fee","congestion_surcharge","trip_distance","payment_type"
"0","2025-01-01","2025-01-01 00:00:00","Manhattan","Manhattan","52.0","74.05","0.0","2.5","6.4","1.0"
"1","2025-01-01","2025-01-01 00:00:02","Manhattan","Manhattan","11.4","16.4","0.0","2.5","1.71","2.0"
"2","2025-01-01","2025-01-01 00:00:03","Manhattan","Manhattan","9.3","17.85","0.0","2.5","1.2","1.0"
"3","2025-01-01","2025-01-01 00:00:07","Manhattan","Manhattan","7.9","12.9","0.0","2.5","0.93","3.0"
"4","2025-01-01","2025-01-01 00:00:17","Manhattan","Manhattan","4.4","9.4","0.0","2.5","0.41","1.0"
"5","2025-01-01","2025-01-01 00:00:17","Queens","Queens","22.6","25.1","0.0","0.0","5.6","1.0"
"6","2025-01-01","2025-01-01 00:00:19","Queens","Brooklyn","44.3","57.91","0.0","0.0","10.08","1.0"
"7","2025-01-01","2025-01-01 00:00:20","Manhattan",,"90.0","104.38","0.0","0.0","11.81","1.0"
"8","2025-01-01","2025-01-01 00:00:31","Manhattan","Manhattan","9.3","14.3","0.0","2.5","1.0","2.0"
"9","2025-01-01","2025-01-01 00:00:31","Manhattan","Manhattan","5.8","15.8","0.0","2.5","0.54","1.0"
"10","2025-01-01","2025-01-01 00:00:32","Manhattan","Manhattan","13.5","22.2","0.0","2.5","2.26","1.0"
"11","2025-01-01","2025-01-01 00:00:35","Manhattan","Manhattan","22.6","34.5","0.0","2.5","3.8","1.0"
"12","2025-01-01","2025-01-01 00:00:37","Manhattan","Manhattan","6.5","11.5","0.0","2.5","0.86","2.0"
"13","2025-01-01","2025-01-01 00:00:46","Manhattan","Brooklyn","38.0","51.6","0.0","2.5","7.36","1.0"
"14","2025-01-01","2025-01-01 00:00:48","Manhattan","Manhattan","22.6","33.12","0.0","2.5","3.58","1.0"
"15","2025-01-01","2025-01-01 00:00:55","Manhattan","Manhattan","7.9","13.9","0.0","2.5","0.55","1.0"
"16","2025-01-01","2025-01-01 00:00:55","Queens","Queens","40.8","59.71","0.0","0.0","10.12","1.0"
"17","2025-01-01","2025-01-01 00:00:57","Queens","Brooklyn","41.5","55.75","0.0","0.0","9.81","1.0"
"18","2025-01-01","2025-01-01 00:01:00","Manhattan","Manhattan","15.6","21.72","0.0","0.0","3.63","1.0"
"19","2025-01-01","2025-01-01 00:01:03","Manhattan","Manhattan","26.1","31.1","0.0","2.5","5.8","1.0"
"20","2025-01-01","2025-01-01 00:01:04","Manhattan","Manhattan","8.6","16.32","0.0","2.5","1.18","1.0"
"21","2025-01-01","2025-01-01 00:01:06","Manhattan","Manhattan","9.3","14.3","0.0","2.5","0.7","1.0"
"22","2025-01-01","2025-01-01 00:01:11","Queens","Queens","18.4","20.9","0.0","0.0","3.9","2.0"
"23","2025-01-01","2025-01-01 00:01:16","Manhattan","Manhattan","14.9","19.9","0.0","2.5","1.46","1.0"
"24","2025-01-01","2025-01-01 00:01:18","Manhattan","Manhattan","7.9","15.48","0.0","2.5","1.05","1.0"
"25","2025-01-01","2025-01-01 00:01:18","Manhattan","Manhattan","30.3","42.36","0.0","2.5","7.29","1.0"
"26","2025-01-01","2025-01-01 00:01:20","Queens","Brooklyn","38.0","43.25","0.0","0.0","9.07","1.0"
"27","2025-01-01","2025-01-01 00:01:23","Manhattan","Manhattan","10.7","19.62","0.0","2.5","1.75","1.0"
"28","2025-01-01","2025-01-01 00:01:28","Manhattan","Manhattan","17.7","28.4","0.0","2.5","3.6","1.0"
"29","2025-01-01","2025-01-01 00:01:28","Manhattan","Brooklyn","25.4","44.81","0.0","2.5","5.51","1.0"
"30","2025-01-01","2025-01-01 00:01:30","Queens","Brooklyn","45.0","58.75","0.0","0.0","10.83","1.0"
"31","2025-01-01","2025-01-01 00:01:31","Queens","Brooklyn","42.2","64.39","0.0","2.5","10.0","1.0"
"32","2025-01-01","2025-01-01 00:01:32","Manhattan","Manhattan","5.8","10.8","0.0","2.5","0.82","2.0"
"33","2025-01-01","2025-01-01 00:01:34","Queens","Manhattan","70.0","92.94","0.0","2.5","16.66","1.0"
"34","2025-01-01","2025-01-01 00:01:40","Manhattan","Manhattan","17.7","27.54","0.0","2.75","2.91","1.0"
"35","2025-01-01","2025-01-01 00:01:41","Manhattan","Manhattan","7.2","12.2","0.0","2.5","0.71","2.0"
"36","2025-01-01","2025-01-01 00:01:41","Queens","Brooklyn","29.6","78.85","0.0","0.0","7.15","1.0"
"37","2025-01-01","2025-01-01 00:01:44","Manhattan","Manhattan","7.9","13.9","0.0","2.5","0.9","1.0"
"38","2025-01-01","2025-01-01 00:01:44","Queens","Manhattan","70.0","94.65","0.0","2.5","19.3","1.0"
"39","2025-01-01","2025-01-01 00:01:49","Queens","Brooklyn","86.7","109.45","0.0","0.0","17.26","1.0"
"40","2025-01-01","2025-01-01 00:01:49","Queens",,"170.7","194.77","0.0","0.0","38.49","2.0"
"41","2025-01-01","2025-01-01 00:01:50","Manhattan","Manhattan","24.7","29.7","0.0","2.5","2.54","1.0"
"42","2025-01-01","2025-01-01 00:01:52","Queens","Manhattan","70.0","98.88","0.0","2.5","19.09","1.0"
"43","2025-01-01","2025-01-01 00:01:53","Queens","Brooklyn","26.1","37.2","0.0","0.0","6.4","1.0"
"44","2025-01-01","2025-01-01 00:01:54","Queens","Manhattan","35.9","65.16","0.0","2.5","9.24","1.0"
"45","2025-01-01","2025-01-01 00:01:55","Manhattan","Manhattan","12.8","21.36","0.0","2.5","2.86","1.0"
"46","2025-01-01","2025-01-01 00:01:57","Manhattan","Manhattan","14.9","22.0","0.0","2.5","2.26","1.0"
"47","2025-01-01","2025-01-01 00:01:59","Manhattan","Manhattan","10.7","18.84","0.0","2.5","1.38","1.0"
"48","2025-01-01","2025-01-01 00:02:03","Manhattan","Manhattan","7.9","12.9","0.0","2.5","0.4","4.0"
"49","2025-01-01","2025-01-01 00:02:08","Manhattan","Manhattan","13.5","18.5","0.0","2.5","2.05","4.0"
"50","2025-01-01","2025-01-01 00:02:09","Manhattan","Manhattan","25.4","30.4","0.0","2.5","4.72","2.0"
"51","2025-01-01","2025-01-01 00:02:13","Manhattan","Manhattan","8.6","13.6","0.0","2.5","0.83","2.0"
"52","2025-01-01","2025-01-01 00:02:14","Manhattan","Manhattan","10.0","15.0","0.0","2.5","1.2","1.0"
"53","2025-01-01","2025-01-01 00:02:16","Manhattan","Manhattan","21.2","31.44","0.0","2.5","4.64","1.0"
"54","2025-01-01","2025-01-01 00:02:20","Queens","Queens","19.8","37.24","0.0","0.0","4.55","1.0"
"55","2025-01-01","2025-01-01 00:02:20","Manhattan","Manhattan","3.7","8.7","0.0","2.5","0.12","2.0"
"56","2025-01-01","2025-01-01 00:02:23","Manhattan","Manhattan","14.2","23.04","0.0","2.5","2.55","1.0"
"57","2025-01-01","2025-01-01 00:02:24","Queens","Queens","15.6","25.28","0.0","0.0","3.28","1.0"
"58","2025-01-01","2025-01-01 00:02:25","Manhattan","Manhattan","10.0","15.0","0.0","2.5","1.5","2.0"
"59","2025-01-01","2025-01-01 00:02:27","Queens","Manhattan","70.0","97.13","0.0","2.5","17.02","1.0"
"60","2025-01-01","2025-01-01 00:02:28","Manhattan","Manhattan","12.8","17.8","0.0","2.5","2.2","2.0"
"61","2025-01-01","2025-01-01 00:02:29","Queens","Manhattan","70.0","96.19","0.0","0.0","20.1","1.0"
"62","2025-01-01","2025-01-01 00:02:29","Manhattan","Manhattan","20.5","30.6","0.0","2.5","3.92","1.0"
"63","2025-01-01","2025-01-01 00:02:29","Brooklyn","Brooklyn","5.1","7.6","0.0","0.0","0.5","2.0"
"64","2025-01-01","2025-01-01 00:02:31","Manhattan","Manhattan","7.9","16.13","0.0","2.5","0.49","1.0"
"65","2025-01-01","2025-01-01 00:02:33","Manhattan","Manhattan","12.1","20.52","0.0","2.5","2.0","1.0"
"66","2025-01-01","2025-01-01 00:02:35","Manhattan","Manhattan","9.3","15.0","0.0","2.5","0.95","1.0"
"67","2025-01-01","2025-01-01 00:02:36","Queens","Brooklyn","66.7","78.95","0.0","0.0","16.72","1.0"
"68","2025-01-01","2025-01-01 00:02:40","Manhattan","Manhattan","10.0","18.0","0.0","2.5","1.17","1.0"
"69","2025-01-01","2025-01-01 00:02:42","Manhattan","Manhattan","12.1","21.4","0.0","2.5","2.2","1.0"
"70","2025-01-01","2025-01-01 00:02:42","Queens","Brooklyn","56.9","73.4","0.0","0.0","15.0","1.0"
"71","2025-01-01","2025-01-01 00:02:43","Queens","Brooklyn","97.5","100.0","0.0","0.0","25.85","1.0"
